epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1601.58,1.1047,0.78828,1.07767,0.75168,0.73602,0.79138,0.48628,1.14459,0.80171,1.16522,0.001981,0.001981,0.001981
83,1620.65,1.10471,0.78614,1.08064,0.76108,0.73011,0.79453,0.48776,1.14839,0.80241,1.16567,0.001882,0.001882,0.001882
84,1639.78,1.09791,0.78244,1.07719,0.76096,0.72884,0.79402,0.48803,1.14705,0.80262,1.16538,0.001783,0.001783,0.001783
85,1658.95,1.10274,0.782,1.07545,0.75198,0.74079,0.78484,0.48244,1.14661,0.80168,1.16632,0.001684,0.001684,0.001684
86,1678.24,1.10054,0.78918,1.07697,0.76641,0.73939,0.78982,0.48561,1.14319,0.80398,1.16483,0.001585,0.001585,0.001585
87,1697.45,1.09412,0.78426,1.07619,0.74347,0.73221,0.78793,0.48598,1.13986,0.80451,1.16374,0.001486,0.001486,0.001486
88,1716.39,1.08663,0.78043,1.07518,0.75059,0.7387,0.78675,0.48506,1.13556,0.80394,1.16218,0.001387,0.001387,0.001387
89,1735.5,1.08932,0.78385,1.07229,0.76567,0.74321,0.7915,0.49067,1.13957,0.79951,1.16656,0.001288,0.001288,0.001288
90,1754.07,1.08359,0.78083,1.0759,0.73969,0.75067,0.79371,0.49127,1.13453,0.80471,1.16252,0.001189,0.001189,0.001189
91,1773.75,1.0284,0.76618,1.0919,0.7651,0.72453,0.79404,0.48941,1.13736,0.80734,1.16536,0.00109,0.00109,0.00109
92,1791.95,1.0187,0.76286,1.0917,0.75967,0.73433,0.79122,0.49128,1.13172,0.80552,1.1635,0.000991,0.000991,0.000991
93,1810.04,1.01481,0.75778,1.08915,0.7654,0.72116,0.79068,0.48923,1.13051,0.80732,1.16283,0.000892,0.000892,0.000892
94,1828.31,1.01083,0.76088,1.08746,0.74229,0.74945,0.79093,0.48922,1.13382,0.80662,1.16741,0.000793,0.000793,0.000793
95,1846.64,1.00938,0.75641,1.08395,0.75448,0.74212,0.78875,0.48628,1.13286,0.80674,1.16472,0.000694,0.000694,0.000694
96,1865.33,1.0051,0.7559,1.08403,0.7575,0.73174,0.78918,0.48701,1.13144,0.80808,1.16581,0.000595,0.000595,0.000595
97,1883.97,0.99932,0.75192,1.08401,0.76291,0.72703,0.78849,0.48707,1.13213,0.80713,1.16734,0.000496,0.000496,0.000496
98,1902.43,0.99729,0.75134,1.08287,0.74252,0.74331,0.7875,0.48604,1.12968,0.80741,1.16714,0.000397,0.000397,0.000397
99,1921.02,0.99156,0.74919,1.07837,0.74094,0.74521,0.78626,0.4855,1.12969,0.80825,1.16724,0.000298,0.000298,0.000298
100,1939.39,0.98989,0.7465,1.07977,0.75606,0.73267,0.78639,0.48624,1.13068,0.80832,1.16881,0.000199,0.000199,0.000199
