epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1839.15,0.93073,0.63021,1.12997,0.9687,0.94279,0.97969,0.71828,1.00844,0.47858,1.17512,0.00208,0.00208,0.00208
82,1861.53,0.9466,0.64299,1.13524,0.97922,0.94279,0.98236,0.72065,1.00633,0.47279,1.1741,0.001981,0.001981,0.001981
83,1884.09,0.93281,0.61329,1.12823,0.96669,0.94362,0.97995,0.72069,1.00405,0.4793,1.17765,0.001882,0.001882,0.001882
84,1906.31,0.92218,0.62228,1.12256,0.97092,0.94693,0.98058,0.72775,0.98516,0.474,1.16186,0.001783,0.001783,0.001783
85,1928.92,0.94096,0.62798,1.13171,0.9743,0.94314,0.98268,0.72396,0.99361,0.47327,1.16364,0.001684,0.001684,0.001684
86,1951.55,0.91282,0.6139,1.12036,0.96186,0.94942,0.97814,0.72327,1.00509,0.47709,1.17504,0.001585,0.001585,0.001585
87,1974.12,0.91843,0.60912,1.11325,0.98096,0.93984,0.97963,0.71929,1.00446,0.47376,1.17337,0.001486,0.001486,0.001486
88,1996.53,0.91016,0.61093,1.11009,0.98444,0.94417,0.98361,0.72676,0.9973,0.47049,1.16406,0.001387,0.001387,0.001387
89,2018.79,0.90756,0.60988,1.11464,0.97065,0.95108,0.98359,0.72985,0.99116,0.46576,1.16479,0.001288,0.001288,0.001288
90,2042.11,0.89857,0.59364,1.10217,0.97127,0.95274,0.98153,0.72676,0.99409,0.46119,1.16636,0.001189,0.001189,0.001189
91,2065.66,0.79319,0.43209,1.05326,0.97854,0.9451,0.98309,0.72483,0.9932,0.4582,1.16644,0.00109,0.00109,0.00109
92,2087.26,0.78249,0.41745,1.04459,0.97238,0.95274,0.98098,0.72439,0.99252,0.4621,1.16574,0.000991,0.000991,0.000991
93,2108.64,0.76898,0.40967,1.03492,0.96936,0.96103,0.98108,0.72681,0.99178,0.46068,1.16565,0.000892,0.000892,0.000892
94,2130.87,0.7481,0.40403,1.02706,0.96967,0.95448,0.98166,0.72273,0.9894,0.4596,1.16589,0.000793,0.000793,0.000793
95,2153.39,0.74486,0.39946,1.03117,0.97296,0.94942,0.98149,0.72644,0.98353,0.45223,1.16551,0.000694,0.000694,0.000694
96,2175.12,0.7272,0.38916,1.02312,0.97447,0.95854,0.98247,0.72867,0.98083,0.45077,1.16273,0.000595,0.000595,0.000595
97,2197.13,0.72955,0.38904,1.02005,0.97721,0.95854,0.98142,0.72945,0.98062,0.44933,1.16617,0.000496,0.000496,0.000496
98,2218.99,0.72602,0.38403,1.01478,0.97697,0.94965,0.98153,0.72945,0.98117,0.4521,1.16475,0.000397,0.000397,0.000397
99,2240.72,0.72014,0.38551,1.01572,0.97862,0.94865,0.9821,0.7331,0.97801,0.45144,1.16282,0.000298,0.000298,0.000298
100,2263.12,0.71707,0.38401,1.01282,0.97538,0.95267,0.98124,0.73268,0.9768,0.4506,1.16226,0.000199,0.000199,0.000199
