epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2283.29,1.11892,1.05233,1.35295,0.84137,0.71753,0.79384,0.52824,1.2576,0.94717,1.48853,0.004159,0.004159,0.004159
61,2321.35,1.09855,1.04894,1.34166,0.84983,0.70892,0.78923,0.52314,1.26522,0.96197,1.49869,0.00406,0.00406,0.00406
62,2358.96,1.10102,1.04212,1.3439,0.84496,0.71165,0.78931,0.52512,1.26831,0.95781,1.50408,0.003961,0.003961,0.003961
63,2396.58,1.10031,1.04271,1.3457,0.83578,0.72426,0.79164,0.52664,1.26398,0.95576,1.50015,0.003862,0.003862,0.003862
64,2434.51,1.09416,1.02852,1.33908,0.83313,0.72303,0.79386,0.52823,1.26201,0.9363,1.49783,0.003763,0.003763,0.003763
65,2472.7,1.09692,1.01743,1.33983,0.83131,0.72452,0.79527,0.52991,1.26824,0.94388,1.49911,0.003664,0.003664,0.003664
66,2510.84,1.08474,1.02544,1.34227,0.83613,0.72761,0.79761,0.53142,1.26024,0.93696,1.4897,0.003565,0.003565,0.003565
67,2548.71,1.07665,1.00889,1.329,0.85266,0.71087,0.79496,0.53236,1.25791,0.93542,1.49143,0.003466,0.003466,0.003466
68,2588.13,1.07495,1.00612,1.32988,0.82544,0.72718,0.79189,0.53055,1.25851,0.92923,1.49727,0.003367,0.003367,0.003367
69,2626.05,1.07848,0.99472,1.33317,0.82115,0.7361,0.79439,0.53258,1.2509,0.93219,1.49142,0.003268,0.003268,0.003268
70,2664.01,1.07248,0.99674,1.32318,0.83517,0.72782,0.79627,0.53214,1.25481,0.92992,1.49357,0.003169,0.003169,0.003169
71,2701.53,1.0679,0.98672,1.32465,0.83489,0.7237,0.79603,0.53243,1.25581,0.93162,1.49508,0.00307,0.00307,0.00307
72,2739.2,1.06288,0.98195,1.3172,0.83176,0.72901,0.7959,0.53221,1.25902,0.93284,1.49801,0.002971,0.002971,0.002971
73,2776.88,1.05649,0.97423,1.31684,0.83537,0.72683,0.79804,0.53343,1.25702,0.93307,1.49596,0.002872,0.002872,0.002872
74,2815.33,1.05877,0.9718,1.31485,0.83414,0.72885,0.79638,0.53296,1.25702,0.92948,1.4928,0.002773,0.002773,0.002773
75,2853.76,1.05377,0.96776,1.31115,0.82151,0.73792,0.79769,0.53449,1.25218,0.92445,1.49052,0.002674,0.002674,0.002674
76,2892.87,1.04665,0.95829,1.30656,0.84677,0.72959,0.80082,0.53547,1.25047,0.92254,1.48993,0.002575,0.002575,0.002575
77,2931.07,1.03073,0.93843,1.29689,0.84317,0.73544,0.80135,0.53466,1.25176,0.92137,1.49266,0.002476,0.002476,0.002476
78,2968.64,1.04184,0.94649,1.30817,0.83922,0.73866,0.80083,0.53536,1.25329,0.92598,1.48916,0.002377,0.002377,0.002377
79,3006.85,1.03152,0.93605,1.29948,0.82438,0.7468,0.79992,0.53671,1.24992,0.91991,1.48739,0.002278,0.002278,0.002278
80,3044.92,1.02836,0.93444,1.29308,0.84084,0.73508,0.80046,0.53784,1.24959,0.91477,1.48859,0.002179,0.002179,0.002179
81,3082.97,1.03045,0.92112,1.28956,0.83787,0.73834,0.7996,0.53699,1.24914,0.91821,1.48874,0.00208,0.00208,0.00208
82,3120.85,1.02849,0.92149,1.29141,0.83793,0.73867,0.80141,0.53914,1.24928,0.91712,1.48883,0.001981,0.001981,0.001981
83,3158.78,1.02149,0.91624,1.29388,0.84945,0.73182,0.80093,0.53807,1.24981,0.91118,1.49045,0.001882,0.001882,0.001882
