epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,318.954,0.99128,0.7759,1.29818,0.91139,0.89689,0.94785,0.63986,1.16405,0.72867,1.61189,0.004357,0.004357,0.004357
59,324.431,1.01068,0.77859,1.31569,0.89164,0.89395,0.94483,0.66568,1.13011,0.68381,1.57594,0.004258,0.004258,0.004258
60,329.891,0.99374,0.75809,1.29339,0.94156,0.84503,0.94315,0.65029,1.15485,0.69445,1.56837,0.004159,0.004159,0.004159
61,335.419,0.98536,0.75041,1.28714,0.89247,0.91853,0.93933,0.64766,1.12679,0.67835,1.56062,0.00406,0.00406,0.00406
62,340.885,0.97988,0.73873,1.28992,0.94604,0.8846,0.94808,0.64937,1.14306,0.68835,1.58273,0.003961,0.003961,0.003961
63,346.367,0.96548,0.73253,1.2867,0.91078,0.92006,0.95342,0.66558,1.13481,0.65801,1.58027,0.003862,0.003862,0.003862
64,351.747,0.96575,0.72554,1.28407,0.93513,0.89364,0.94177,0.65815,1.17192,0.6784,1.61422,0.003763,0.003763,0.003763
65,357.168,0.95555,0.72631,1.26368,0.94693,0.86892,0.94571,0.65784,1.15347,0.68387,1.5875,0.003664,0.003664,0.003664
66,362.541,0.96507,0.73064,1.28015,0.96469,0.89622,0.9592,0.66017,1.1326,0.66032,1.57252,0.003565,0.003565,0.003565
67,367.932,0.94944,0.71033,1.2567,0.95482,0.90267,0.95771,0.65354,1.15728,0.65389,1.59457,0.003466,0.003466,0.003466
68,373.228,0.92666,0.70325,1.24741,0.89448,0.90652,0.94703,0.66687,1.15034,0.64581,1.60357,0.003367,0.003367,0.003367
69,378.616,0.94022,0.70368,1.25662,0.92601,0.85839,0.93333,0.64068,1.15271,0.69122,1.57012,0.003268,0.003268,0.003268
70,383.963,0.91174,0.68056,1.2381,0.92124,0.93981,0.9598,0.67343,1.12141,0.64257,1.56653,0.003169,0.003169,0.003169
71,389.381,0.91717,0.6794,1.25004,0.91945,0.89776,0.95177,0.69217,1.07908,0.6395,1.5234,0.00307,0.00307,0.00307
72,394.821,0.90032,0.67738,1.24384,0.93228,0.91382,0.95611,0.67652,1.14233,0.6376,1.56095,0.002971,0.002971,0.002971
73,400.203,0.91831,0.68243,1.24204,0.94537,0.88658,0.9517,0.67652,1.13523,0.65243,1.56081,0.002872,0.002872,0.002872
74,405.706,0.92399,0.66779,1.24461,0.93121,0.90576,0.95413,0.66149,1.13453,0.63213,1.56343,0.002773,0.002773,0.002773
75,411.102,0.89425,0.65716,1.2406,0.94282,0.89279,0.94514,0.65548,1.15799,0.67277,1.59437,0.002674,0.002674,0.002674
76,416.517,0.90595,0.65649,1.24349,0.93965,0.90031,0.94301,0.66712,1.15404,0.66223,1.58333,0.002575,0.002575,0.002575
77,422.027,0.89516,0.64613,1.22126,0.90666,0.93717,0.9625,0.67671,1.12341,0.64566,1.54988,0.002476,0.002476,0.002476
78,427.562,0.86761,0.63764,1.22171,0.95803,0.90369,0.95785,0.66489,1.1514,0.63624,1.59683,0.002377,0.002377,0.002377
